count,text
2,We are excited to celebrate the diversity of our leopards &amp; bring awareness to Asian Pacific Islander Desi American… https://t.co/5kLuVkTtt2
2,Want to promote mental health and grab some FREE food? Join us for Fresh Check Day tomorrow from 11-2 on the Quad.… https://t.co/aflDVASXt3
2,The Wentworth Community starts NOW in Watson Auditorium. Support your classmates and the Wentworth community at tod… https://t.co/5HLCkqg5uN
2,Take a break from your college applications and join us this Sunday for our annual Fall #OpenHouse at #Wentworth! T… https://t.co/PZKQKjYcGR
2,Read the Spring 2019 commencement highlights from the weekend! - https://t.co/BiQ7E9aeHd  #Classof2019 #graduation… https://t.co/PuggqigUSv
2,"RT @witathletics: Women's Volleyball Sweeps CCC Weekly Awards https://t.co/eL4pGJ0dPc 

🏐Rogoz repeats as offensive POTW (2.91 kills/set -…"
2,RT @sustainableWIT: This year's #TrashtoTreasure was a success!  Great work @witlife and @wentworthinst residents for donating to a good ca…
2,RT @WITlife: Good luck with final exams everyone! https://t.co/sDW7BRmZFI
2,RT @WITadmissions: Happy move-in day to all of our new @wentworthinst students! Here is just a sampling of everything that happened around…
2,RT @WITadmissions: Decision letters are on their way to the post office! Time to start checking your mailbox. 👀📫 Share the exciting news wi…
2,RT @WITNews: The @necanet student club of Wentworth once again chose a local community building to improve for their Green Energy Challenge…
2,"RT @WITNews: Jon Stolk, professor of materials science and engineering education at @OlinCollege is speaking to Wentworth community about i…"
2,RT @WITNews: Congrats to Wentworth's Industrial Design dept. for taking part in the prestigious @ICFF fair in NYC. Faculty including Bill B…
2,RT @WITLeopard: It is Leopard Lunch and Learn Wednesday! Come learn about managing your personal finances and tips for managing your money…
2,"RT @WITCoopsCareers: Join @Staples representatives and Wentworth alumni on Nov 12, 12-1pm to discover the ins and outs of making a smooth t…"
2,RT @WITCoopsCareers: Ever wonder what an Amazon Research Scientist does? Don't miss today's Career Lecture Series at 11am in Beatty 418 to…
2,RT @WITCoopsCareers: Don't miss Pitch Round tonight! Interested to learn more about @WITXLR8 and tonight's event? Catch yesterday's #WITwor…
2,"RT @GilbaneNewEng: Project team members proudly accepted the CMAA Project of the Year Award for our Wentworth Center for Engineering, Innov…"
2,"Meet Greg Janey, the new chair of the board of trustees at Wentworth https://t.co/MYARyVqmpV"
2,It's going to be a beautiful fall day. Have you checked out the new library terrace yet? https://t.co/zF5jMLOQII
2,"Happy New Year, everyone. Have a wonderful day! https://t.co/j4I4xhYJkW"
2,Happy #StarWarsDay! #MayTheFourthBeWithYou 🎉 https://t.co/dyxmPxfRwP
2,"Happy #EarthDay The Wentworth Creed, from 1904 stats, “We seek to use our resources wisely at all times. We accept… https://t.co/cDtS5ErqPx"
2,Get ready to count 'em down! #WIT #100DaysToGraduation https://t.co/rjv7ZYc6HZ
2,Free BBQ today on the Front Lawn from 11am-2pm. Grab some food and try to dunk some of your favorite Wentworth cele… https://t.co/GtxApHeDrp
2,Ever wonder what your classmates are working on? Stop by the Wentworth Community Showcase in Watson Auditorium tomo… https://t.co/wFGxaGdMx9
2,Drop and give us 22! Stop by just outside of Beatty Hall to complete the 22 Push-Up Challenge and help raise awaren… https://t.co/z568iIIwbx
