count,text
20,"Claudia Alant, a fourth-year student in @_RITEngineering, works “one of the coolest jobs an undergraduate student c… https://t.co/2kn4BcXLWe"
20,"Amanda Zaremski is an @ritsois Gap Year Fellow and CEO of WinutRx, a patient-centric medical tool for mobile device… https://t.co/Mj8iOmhpgz"
20,.@FIRSTweets opens its 2020 season with the FIRST Robotics Competition (@FRCTeams) Finger Lakes Regional Kick Off t… https://t.co/jloyToFVOg
19,Victoria Decker Griffith ’93 (hospitality) says she is who she is because of #RIT— and that doesn’t just include he… https://t.co/6mK9ydvSl4
19,"There was a lot happening on campus this week, and our photographers were there to capture it! Head over to our Fac… https://t.co/6yBJAyCnu7"
19,The #RIT Theme Park Enthusiasts group won first place overall for the second time at the annual Ryerson Invitationa… https://t.co/CMY0tzodFS
19,"ICYMI: Hassan Eissa, an @RITEngTech student and cross country runner, has traveled a long way to get to #RIT. He wa… https://t.co/Wf94nx3xIW"
19,Do you have tickets to tonight's @RITMHKY game!? The 2009-2010 team will return to celebrate the 10th anniversary o… https://t.co/hdyKwiFbk2
19,"Before #RIT was, well, RIT, it was the Rochester Athenaeum. Learn about the early history of the university from… https://t.co/54RhURVJ2G"
18,"To date, the #TransformingRIT campaign has secured philanthropic gifts, government grants and research grants to fu… https://t.co/0ZNmvmRYZj"
18,The new Expressive Communication Center at @ritlibraries strives to help students better prepare to deliver speeche… https://t.co/HbFfMXZ8zb
18,So... we have really talented @RITSOFA students. 🎬 @RIT_artdesign #RIT https://t.co/mYTWdZsIjb
18,Big win for @RITWHKY last night. These same two teams are back on the ice in Polisseni at noon today! #RIT #GoTigers https://t.co/uuGvAJnjcS
17,🎉🎉Aren't following us yet? Find us on @tiktok_us here: https://t.co/f5bCdYeMLL https://t.co/Toh5zAH3Yc
17,"Patricia Moore ’74 (@RIT_ID), an internationally renowned designer, gerontologist, and leading authority on consume… https://t.co/OFN08VhXvC"
17,"Jeremiah Gryczka '19, was a part of the @ritsois Gap Year Entrepreneurial Fellowship Program leading up to graduati… https://t.co/xlcLXKjULX"
17,"A group of #RIT students took top honors in the annual #ROC the Project contest, a project management challenge. Re… https://t.co/w79YdGA47V"
16,"Two games, two wins for @RITWHKY over the weekend! https://t.co/VUl6r6nd3w"
16,Tim Webber '97 (civil engineering technology) is the vice president and director of civil engineering at… https://t.co/LJyc7GpflK
16,"After watching his mother get up during a meal to warm tortillas over the stove, Elliot Benitez ’07 had an idea.… https://t.co/ZUA4oTEcqB"
16,.@RITPepBand showed their spirit (both Tiger and holiday) at the @RITMHKY game last weekend! #RIT https://t.co/pXL4yRij7p
15,We're excited to have Phillip Castleberry on board as vice president for Development and Alumni Relations. He begin… https://t.co/L8f2WHq8CM
15,"Stevie West, a third-year film and animation student and @RITesports production director, completed a co-op with… https://t.co/zPmEWgUmoU"
15,"On the latest episode of Intersections, Caroline Easton, prof. in #RIT’s School of Behavioral Health, talks with Ja… https://t.co/drnBFA8DmW"
15,"In honor of #MLKDay this Monday, #RIT host its third annual Let Freedom Ring event. Our community will be honoring… https://t.co/ZY6aCHButv"
15,"Clyde Eiríkur Hull, professor in @RITbusiness and Eric Williams, professor in @GIS_RIT were featured in… https://t.co/XBnIn24ab7"
15,"Big win for @RITMHKY last night, setting the stage for tonight at Polisseni as we celebrate our Frozen Four squad.… https://t.co/xsVRBPpERp"
14,"Working overtime, @RITWHKY gets a big win. #RIT #TigerPride https://t.co/MxEd0Dgcqb"
