count,text
49,"Can't keep your New Year's resolutions? 

Try being kind to yourself.

A @utexascoe researcher says being compassio… https://t.co/OdZix5alN4"
47,"ICYMI: Internationally acclaimed researcher, author and speaker @BreneBrown will return to the Forty Acres this spr… https://t.co/3bUccPhfmX"
47,"50,000 tons of plastic pellets known as nurdles pollute our oceans every year.

@utmsi is helping to fight the prob… https://t.co/peBYseAzfA"
44,"Why, year after year, do we make New Year’s resolutions that, for most of us, won’t last through February? 

How ca… https://t.co/Vbd2X8v9D5"
43,"The Forty Acres is home to 170 million interesting objects, ranging from globally important works of art to bee hiv… https://t.co/EAL5kMIt4S"
43,"Looking to change things up in the new year? 

Rearranging furniture can increase your energy and put you in a good… https://t.co/Mqz1ymeI9j"
42,"Diving 200 feet under the ocean surface to conduct scientific research, one UT professor found himself in the middl… https://t.co/Wv1DsWh7Wa"
42,.@LiberalArtsUT professor Christine Williams is the first sociologist to represent UT as president of the American… https://t.co/tVsaq2moiE
41,"Stressed out? 

Maybe Lego bricks can help. 

@DellMedSchool’s @carriebarronmd explains the allure: 

“To focus sin… https://t.co/GEXwuX4Kmy"
41,A new exhibit from @utlibraries and @llilasbenson examines the art and history of Cuban comics after the successful… https://t.co/1JOSy6tDqw
40,"Have you experienced the @LandmarksUT Skyspace? 

https://t.co/2jaEm4a2tq"
39,"One @UTexasPharmacy professor challenges her students to pick one self-care item to focus on each semester. 

Many… https://t.co/1ohp2dyksH"
39,Iron ‘snow?’ ❄🤔 https://t.co/HWZLdY5CVp
38,"The breakthrough has implications for information storage in quantum computing, solar energy conversion and medical… https://t.co/3n5N5ax9ay"
38,"Plastic pollution has contaminated every continent on Earth. 

It kills wildlife from whales to sea turtles.

And i… https://t.co/pF6ur4pN29"
38,"Join us for UT Night at @ATXLights 🤘❄️ 

🗓 Sun. Dec. 15
📍 Zilker Park
🕖 7-10 p.m.
🎟 Free and open to the public

Mo… https://t.co/GE01mZgZxC"
38,Engineering is more than math and science. See how @CockrellSchool students are using their engineering education t… https://t.co/MJI5AHZjXT
38,"By building new relationships, these Longhorns defeated the odds and improved voter turnout:… https://t.co/IV90KHAb1Y"
38,.@acaciatree18 has a reporter’s résumé that any professional in the field would be happy to have — and she built it… https://t.co/S9s7mP2Afm
